Geo_FIPS,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_PUMA5,Geo_NAME,Geo_BTTR,Geo_BTBG,Geo_PLACESE,SE_A09005_001,SE_A09005_002,SE_A09005_009,SE_A09005_010,SE_A09005_003,SE_A09005_004,SE_A09005_005,SE_A09005_006,SE_A09005_007,SE_A09005_008
"53047970302","Census Tract 9703.02, Okanogan County, Washington","wa","140","00",,,,"53","047",,,"970302",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 9703.02",,,,660,573,507,66,0,0,0,6,0,81
"53047970303","Census Tract 9703.03, Okanogan County, Washington","wa","140","00",,,,"53","047",,,"970303",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 9703.03",,,,473,451,365,86,0,0,0,0,0,22
"53047970400","Census Tract 9704, Okanogan County, Washington","wa","140","00",,,,"53","047",,,"970400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 9704",,,,1602,1277,1147,130,0,0,40,70,16,199
"53047970500","Census Tract 9705, Okanogan County, Washington","wa","140","00",,,,"53","047",,,"970500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 9705",,,,899,749,587,162,0,0,0,21,6,123
"53047970601","Census Tract 9706.01, Okanogan County, Washington","wa","140","00",,,,"53","047",,,"970601",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 9706.01",,,,1424,1046,868,178,22,0,0,0,46,310
"53047970602","Census Tract 9706.02, Okanogan County, Washington","wa","140","00",,,,"53","047",,,"970602",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 9706.02",,,,1664,1389,1214,175,0,0,0,214,0,61
"53047970700","Census Tract 9707, Okanogan County, Washington","wa","140","00",,,,"53","047",,,"970700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 9707",,,,1658,1455,1098,357,39,0,4,70,22,68
"53047970800","Census Tract 9708, Okanogan County, Washington","wa","140","00",,,,"53","047",,,"970800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 9708",,,,2078,1628,1421,207,12,9,0,47,69,313
"53047970900","Census Tract 9709, Okanogan County, Washington","wa","140","00",,,,"53","047",,,"970900",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 9709",,,,1432,913,758,155,0,0,3,193,0,323
"53047971000","Census Tract 9710, Okanogan County, Washington","wa","140","00",,,,"53","047",,,"971000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 9710",,,,1801,1548,1349,199,0,1,0,163,21,68
